Date,Popularity
2015-01-04,9
2015-01-11,10
2015-01-18,8
2015-01-25,9
2015-02-01,11
2015-02-08,8
2015-02-15,7
2015-02-22,7
2015-03-01,10
2015-03-08,8
2015-03-15,9
2015-03-22,8
2015-03-29,8
2015-04-05,10
2015-04-12,7
2015-04-19,10
2015-04-26,11
2015-05-03,8
2015-05-10,10
2015-05-17,13
2015-05-24,11
2015-05-31,6
2015-06-07,9
2015-06-14,8
2015-06-21,11
2015-06-28,7
2015-07-05,8
2015-07-12,11
2015-07-19,7
2015-07-26,10
2015-08-02,8
2015-08-09,11
2015-08-16,8
2015-08-23,10
2015-08-30,12
2015-09-06,8
2015-09-13,7
2015-09-20,5
2015-09-27,10
2015-10-04,11
2015-10-11,9
2015-10-18,7
2015-10-25,8
2015-11-01,9
2015-11-08,9
2015-11-15,7
2015-11-22,5
2015-11-29,6
2015-12-06,5
2015-12-13,7
2015-12-20,7
2015-12-27,12
2016-01-03,17
2016-01-10,19
2016-01-17,16
2016-01-24,15
2016-01-31,15
2016-02-07,13
2016-02-14,16
2016-02-21,16
2016-02-28,17
2016-03-06,15
2016-03-13,17
2016-03-20,16
2016-03-27,15
2016-04-03,20
2016-04-10,21
2016-04-17,21
2016-04-24,21
2016-05-01,28
2016-05-08,28
2016-05-15,19
2016-05-22,21
2016-05-29,19
2016-06-05,24
2016-06-12,28
2016-06-19,25
2016-06-26,20
2016-07-03,23
2016-07-10,20
2016-07-17,28
2016-07-24,23
2016-07-31,21
2016-08-07,19
2016-08-14,18
2016-08-21,25
2016-08-28,22
2016-09-04,21
2016-09-11,14
2016-09-18,18
2016-09-25,18
2016-10-02,15
2016-10-09,14
2016-10-16,15
2016-10-23,12
2016-10-30,13
2016-11-06,17
2016-11-13,15
2016-11-20,13
2016-11-27,16
2016-12-04,14
2016-12-11,18
2016-12-18,15
2016-12-25,19
2017-01-01,31
2017-01-08,35
2017-01-15,31
2017-01-22,31
2017-01-29,30
2017-02-05,32
2017-02-12,26
2017-02-19,27
2017-02-26,30
2017-03-05,26
2017-03-12,27
2017-03-19,27
2017-03-26,31
2017-04-02,29
2017-04-09,26
2017-04-16,25
2017-04-23,26
2017-04-30,29
2017-05-07,38
2017-05-14,100
2017-05-21,76
2017-05-28,57
2017-06-04,57
2017-06-11,53
2017-06-18,50
2017-06-25,49
2017-07-02,50
2017-07-09,48
2017-07-16,48
2017-07-23,49
2017-07-30,49
2017-08-06,50
2017-08-13,49
2017-08-20,46
2017-08-27,42
2017-09-03,33
2017-09-10,34
2017-09-17,36
2017-09-24,31
2017-10-01,29
2017-10-08,30
2017-10-15,33
2017-10-22,36
2017-10-29,36
2017-11-05,38
2017-11-12,38
2017-11-19,33
2017-11-26,34
2017-12-03,38
2017-12-10,31
2017-12-17,35
2017-12-24,39
2017-12-31,54
2018-01-07,54
2018-01-14,61
2018-01-21,54
2018-01-28,55
2018-02-04,59
2018-02-11,48
2018-02-18,51
2018-02-25,54
2018-03-04,50
2018-03-11,53
2018-03-18,51
2018-03-25,61
